vr_unbrain,vl_unbrain,prev_vl,prev_vr,vl_real,vr_real
-62.9584599518,-25.9170123811,0.0000000000,0.0000000000,5.3079788884,-9.2269678911
-62.9292070142,-26.0822640075,-26.1513090403,-62.9704921106,10.0582311551,-12.4686350425
-62.9828573065,-26.0409710633,-26.1472454376,-62.9664319167,-14.8306320111,-43.1314031283
-53.9933117809,-19.4418055194,-26.1535354575,-62.9727142420,24.0170180798,3.5744508108
-45.2483528458,-11.6731416655,-19.3799802250,-54.1155065583,19.5839087168,22.6310551167
-38.9654567458,-6.2042386943,-11.6669346389,-45.2187028098,25.3596921762,6.6343878706
-34.1824372383,-1.5126806355,-6.1711160028,-38.9110321972,14.2155408859,24.4733770688
-30.1086397775,2.3599651992,-1.6264919363,-34.3834846487,20.9478338559,36.9830528895
-28.5908725941,3.8904327718,2.4126442916,-30.2527923484,14.7773583730,14.1925970713
-29.5100929177,3.3850723776,4.0215777808,-28.6574831758,4.8913637797,-3.6386013031
-23.7283020557,6.7001518893,3.2121137221,-29.4889749786,-16.5655990442,18.9662714799
-19.8587083578,12.0842427388,6.8116379358,-23.6825680168,-41.9295152028,16.9737438361
-15.9470172421,12.9826731328,12.0908955144,-19.8144244533,-10.4554285606,-8.1742828091
-20.3872261735,13.2112812551,13.0922549897,-15.7770105030,-33.8604291280,-41.9374028842
-22.0191603644,21.1580560141,13.2716016973,-20.2965099223,-36.6600990295,0.0000000000
-24.8358239476,19.3068565908,21.1330168617,-21.8468195161,-66.6666666667,-34.9474191666
-26.1796989412,17.8438501855,19.3319657377,-24.6972940985,-66.6666666667,-46.8768835068
-27.1141460410,16.4076568793,17.7797712921,-26.1004733592,-66.6666666667,-66.6666666667
-28.4157588807,15.0325688219,16.5011774054,-27.2702754249,-66.6666666667,-66.6666666667
-29.7703421934,13.9277733014,15.1807853978,-28.4354092022,-66.6666666667,-63.0324165026
-30.6086395007,12.3585713456,13.8246208318,-29.5873804930,-66.6666666667,-59.1409166654
-11.1660390175,32.0645187378,12.4549165147,-30.7347391296,-66.6666666667,-60.8389854431
